ano_extrato,mes_extrato,qtd_transacoes,gasto_total
2023,1,401,202062.22
2023,2,396,282763.0
2023,3,433,325381.12
2023,4,407,186137.66
2023,5,432,308251.22
2023,6,416,365248.04
2023,7,406,318867.64
2023,8,380,282422.54
2023,9,388,334239.18
2023,10,437,316018.12
2023,11,393,242296.96
2023,12,397,330752.49
2024,1,425,211240.86
2024,2,432,414418.93
2024,3,398,337998.77
2024,4,428,241267.95
2024,5,416,365138.8
2024,6,370,260809.41
2024,7,399,305351.18
2024,8,401,342910.06
2024,9,430,308963.77
2024,10,384,279841.21
2024,11,406,303238.38
2024,12,412,254260.04
