tipo_transacao,qtd,total,minimo,maximo,media
COMPRA A/V - R$ - APRES,6937,5082294.7,5.04,49658.41,732.64
SAQUE - R$ - APRES,927,534438.72,5.58,48340.47,576.53
CPP LOJISTA TRF P/FATURA - REAL,577,454674.93,5.89,44872.51,788.0
SAQUE CASH/ATM BB,561,393366.78,7.11,27844.53,701.19
SAQUE - INT$ - APRES,104,171261.59,7.91,45937.98,1646.75
COMPRA A/V - INT$ - APRES,231,116377.41,7.16,7944.73,503.8
COMP A/V-SOL DISP C/CLI-R$ APOS VENC,119,113252.61,6.59,43717.47,951.7
SAQUE MANUAL - CARTOES BB NA AGENCIA,104,96950.11,11.3,41551.77,932.21
COMP A/V-SOL DISP C/CLI-R$ ANT VENC,120,87515.83,5.6,19381.54,729.3
SAQUE BB B24HORAS-SOL C/CLIENTE,107,69746.87,7.38,20823.63,651.84
VOUCHER - R$ - REVRS REAPR,111,-136797.63,-45200.55,-5.59,-1232.41
